#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_30Kmin_05.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_600_30Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;
#DATE/TIME:                  ;13.02.2025 1:54:33 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_30Kmin_correct
#TEMPCAL:                    ;06-01-2021 09:50
#SENSITIVITY:                ;06-01-2021 10:22
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_600_30Kmin powder
#SAMPLE:                     ;PMMA_DE_600_30Kmin
#SAMPLE MASS /mg:            ;8.5613
#MATERIAL:                   ;
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;134.8350
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C/30.0(K/min)/700�C
#SEGMENT:                    ;S2/3
#SEG. 2:                     ;30�C/30.0(K/min)/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 29.99800; 9.96667;-3.123618e-05;100.00117;50.00000;20.00000;5.70590
 30.00000; 9.97333;-6.247244e-05;100.00117;50.00000;20.00000;5.70589
 29.99900; 9.98000;-1.405629e-04;100.00117;50.00000;20.00000;5.70589
 29.99500; 9.98667;-1.405625e-04;100.00117;50.00000;20.00000;5.70591
 29.99900; 9.99333;-1.093267e-04;100.00117;50.00000;20.00000;5.70589
 29.99700;10.00000;-7.809039e-05;100.00117;50.00000;20.00000;5.70590
 29.99900;10.00667;-1.561810e-04;100.00117;50.00000;20.00000;5.70589
 30.00000;10.01333;-1.249449e-04;100.00117;50.00000;20.00000;5.70589
 29.99600;10.02000;-9.370840e-05;100.00117;50.00000;20.00000;5.70591
 30.00000;10.02667;-6.247244e-05;100.00117;50.00000;20.00000;5.70589
 29.99900;10.03333;-1.561810e-05;100.00117;50.00000;20.00000;5.70589
 29.99800;10.04000; 0.000000e+00;100.00117;50.00000;20.00000;5.70590
 30.00000;10.04667; 3.123622e-05;100.00117;50.00000;20.00000;5.70589
 29.99700;10.05333; 6.247231e-05;100.00117;50.00000;20.00000;5.70590
 30.00100;10.06000; 4.685436e-05;100.00117;50.00000;20.00000;5.70589
 30.00000;10.06667; 3.123622e-05;100.00117;50.00000;20.00000;5.70589
 29.99900;10.07333; 3.123620e-05;100.00117;50.00000;20.00000;5.70589
 30.00200;10.08000; 7.809065e-05;100.00117;50.00000;20.00000;5.70588
 30.00200;10.08667; 3.123626e-05;100.00117;50.00000;20.00000;5.70588
 30.00200;10.09333; 9.370878e-05;100.00117;50.00000;20.00000;5.70588
 30.00100;10.10000; 1.093268e-04;100.00117;50.00000;20.00000;5.70589
 30.00200;10.10667; 1.717994e-04;100.00117;50.00000;20.00000;5.70588
