#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_30Kmin_03.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_600_30Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;
#DATE/TIME:                  ;12.02.2025 20:32:36 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_30Kmin_correct
#TEMPCAL:                    ;06-01-2021 09:50
#SENSITIVITY:                ;06-01-2021 10:22
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_600_30Kmin powder
#SAMPLE:                     ;PMMA_DE_600_30Kmin
#SAMPLE MASS /mg:            ;8.6393
#MATERIAL:                   ;
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;136.7307
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C/30.0(K/min)/700�C
#SEGMENT:                    ;S2/3
#SEG. 2:                     ;30�C/30.0(K/min)/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 30.00400; 9.96750;-1.083395e-04; 99.97801;50.00000;20.00000;5.70587
 30.00200; 9.97417;-9.286230e-05; 99.97801;50.00000;20.00000;5.70588
 30.00300; 9.98083;-1.547706e-04; 99.97801;50.00000;20.00000;5.70588
 30.00200; 9.98750;-2.166787e-04; 99.97801;50.00000;20.00000;5.70588
 30.00200; 9.99417;-2.476328e-04; 99.97801;50.00000;20.00000;5.70588
 30.00400;10.00083;-2.012019e-04; 99.97801;50.00000;20.00000;5.70587
 30.00300;10.00750;-2.631100e-04; 99.97801;50.00000;20.00000;5.70588
 30.00200;10.01417;-2.476328e-04; 99.97801;50.00000;20.00000;5.70588
 29.99800;10.02083;-2.321551e-04; 99.97801;50.00000;20.00000;5.70590
 30.00100;10.02750;-2.476326e-04; 99.97801;50.00000;20.00000;5.70589
 30.00000;10.03417;-1.857243e-04; 99.97801;50.00000;20.00000;5.70589
 30.00300;10.04083;-1.857247e-04; 99.97801;50.00000;20.00000;5.70588
 30.00300;10.04750;-2.012018e-04; 99.97801;50.00000;20.00000;5.70588
 30.00100;10.05417;-2.166786e-04; 99.97801;50.00000;20.00000;5.70589
 30.00100;10.06083;-2.321556e-04; 99.97801;50.00000;20.00000;5.70589
 30.00300;10.06750;-2.940641e-04; 99.97801;50.00000;20.00000;5.70588
 30.00200;10.07417;-2.631098e-04; 99.97801;50.00000;20.00000;5.70588
 30.00300;10.08083;-2.012018e-04; 99.97801;50.00000;20.00000;5.70588
 30.00500;10.08750;-1.547708e-04; 99.97801;50.00000;20.00000;5.70587
 30.00400;10.09417;-7.738535e-05; 99.97801;50.00000;20.00000;5.70587
 30.00400;10.10083;-6.190828e-05; 99.97801;50.00000;20.00000;5.70587
 30.00600;10.10750;-3.095418e-05; 99.97801;50.00000;20.00000;5.70587
 30.00800;10.11417;-6.190845e-05; 99.97801;50.00000;20.00000;5.70586
 30.00500;10.12083;-6.190833e-05; 99.97801;50.00000;20.00000;5.70587
 30.00600;10.12750;-6.190837e-05; 99.98576;50.00000;20.00000;5.70587
 30.00600;10.13417;-3.095418e-05; 99.99352;50.00000;20.00000;5.70587
 30.00600;10.14083; 0.000000e+00; 99.99352;50.00000;20.00000;5.70587
 30.01000;10.14750; 1.083399e-04; 99.99352;50.00000;20.00000;5.70585
 30.01300;10.15417; 2.321575e-04; 99.99734;50.00000;20.00000;5.70584
 30.01600;10.16083; 2.940673e-04; 99.99734;50.00000;20.00000;5.70583
 30.01500;10.16750; 4.024074e-04; 99.99086;50.00000;20.00000;5.70583
 30.01800;10.17417; 5.881349e-04; 99.99086;50.00000;20.00000;5.70582
 30.02100;10.18083; 6.345678e-04; 99.99479;50.00000;20.00000;5.70581
 30.02500;10.18750; 7.274333e-04; 99.99479;50.00000;20.00000;5.70579
 30.02800;10.19417; 8.667307e-04; 99.98704;50.00000;20.00000;5.70578
 30.03100;10.20083; 8.976871e-04; 99.99479;50.00000;20.00000;5.70577
 30.03500;10.20750; 8.822122e-04; 99.99861;50.00000;20.00000;5.70576
 30.03500;10.21417; 1.036986e-03; 99.99352;50.00000;20.00000;5.70576
 30.03900;10.22083; 1.067944e-03;100.00127;50.00000;20.00000;5.70574
 30.04300;10.22750; 1.238199e-03; 99.99606;50.00000;20.00000;5.70572
 30.05100;10.23417; 1.470369e-03; 99.99873;50.00000;20.00000;5.70569
 30.05600;10.24083; 1.702538e-03;100.00903;50.00000;20.00000;5.70567
 30.06000;10.24750; 1.981141e-03; 99.99606;50.00000;20.00000;5.70566
 30.06800;10.25417; 2.135930e-03;100.01157;50.00000;20.00000;5.70563
 30.07400;10.26083; 2.368105e-03;100.00648;50.00000;20.00000;5.70560
 30.07800;10.26750; 2.739580e-03;100.01157;50.00000;20.00000;5.70559
 30.08600;10.27417; 2.832462e-03;100.02581;50.00000;20.00000;5.70556
 30.09200;10.28083; 3.002732e-03;100.00648;50.00000;20.00000;5.70554
 30.10000;10.28750; 3.188485e-03;100.02454;50.00000;20.00000;5.70550
 30.10900;10.29417; 3.559981e-03;100.01933;50.00000;20.00000;5.70547
 30.11900;10.30083; 3.761222e-03;100.02327;50.00000;20.00000;5.70543
 30.12400;10.30750; 4.055323e-03;100.03623;50.00000;20.00000;5.70541
 30.13500;10.31417; 4.364922e-03;100.01551;50.00000;20.00000;5.70537
 30.14400;10.32083; 4.550691e-03;100.02975;50.00000;20.00000;5.70533
 30.15400;10.32750; 4.937688e-03;100.01945;50.00000;20.00000;5.70530
 30.16400;10.33417; 5.386605e-03;100.01551;50.00000;20.00000;5.70526
 30.17600;10.34083; 5.742663e-03;100.02593;50.00000;20.00000;5.70521
 30.18800;10.34750; 6.129686e-03;100.01551;50.00000;20.00000;5.70516
 30.20000;10.35417; 6.516714e-03;100.01806;50.00000;20.00000;5.70512
 30.21200;10.36083; 6.888269e-03;100.01806;50.00000;20.00000;5.70507
 30.22700;10.36750; 7.290804e-03;100.01424;50.00000;20.00000;5.70501
 30.23800;10.37417; 7.693326e-03;100.01285;50.00000;20.00000;5.70497
 30.25400;10.38083; 8.173279e-03;100.01285;50.00000;20.00000;5.70491
 30.27200;10.38750; 8.808054e-03;100.01285;50.00000;20.00000;5.70484
 30.28700;10.39417; 9.241585e-03;100.01296;50.00000;20.00000;5.70478
 30.30200;10.40083; 9.706086e-03;100.01424;50.00000;20.00000;5.70472
 30.31900;10.40750; 1.017061e-02;100.02072;50.00000;20.00000;5.70466
 30.33800;10.41417; 1.077448e-02;100.02593;50.00000;20.00000;5.70458
 30.35500;10.42083; 1.125451e-02;100.02975;50.00000;20.00000;5.70452
 30.37500;10.42750; 1.178102e-02;100.03357;50.00000;20.00000;5.70444
 30.39300;10.43417; 1.244685e-02;100.03750;50.00000;20.00000;5.70437
 30.41500;10.44083; 1.300436e-02;100.04005;50.00000;20.00000;5.70429
 30.43600;10.44750; 1.365478e-02;100.04271;50.00000;20.00000;5.70421
 30.45900;10.45417; 1.438263e-02;100.04526;50.00000;20.00000;5.70412
 30.48000;10.46083; 1.497116e-02;100.04526;50.00000;20.00000;5.70404
 30.50200;10.46750; 1.571453e-02;100.04526;50.00000;20.00000;5.70395
 30.52500;10.47417; 1.647342e-02;100.04526;50.00000;20.00000;5.70386
 30.55000;10.48083; 1.723236e-02;100.04526;50.00000;20.00000;5.70376
 30.58100;10.48750; 1.803784e-02;100.04260;50.00000;20.00000;5.70365
 30.60500;10.49417; 1.873489e-02;100.04144;50.00000;20.00000;5.70355
 30.63600;10.50083; 1.944753e-02;100.04144;50.00000;20.00000;5.70343
 30.66100;10.50750; 2.020658e-02;100.04144;50.00000;20.00000;5.70334
 30.69000;10.51417; 2.107409e-02;100.04144;50.00000;20.00000;5.70322
 30.72200;10.52083; 2.198814e-02;100.04271;50.00000;20.00000;5.70310
 30.75300;10.52750; 2.288673e-02;100.04526;50.00000;20.00000;5.70298
 30.78200;10.53417; 2.370790e-02;100.04792;50.00000;20.00000;5.70287
 30.81500;10.54083; 2.452916e-02;100.05174;50.00000;20.00000;5.70274
 30.84900;10.54750; 2.536597e-02;100.05568;50.00000;20.00000;5.70261
 30.88500;10.55417; 2.640417e-02;100.05950;50.00000;20.00000;5.70247
 30.91900;10.56083; 2.741142e-02;100.06204;50.00000;20.00000;5.70234
 30.95500;10.56750; 2.826387e-02;100.06343;50.00000;20.00000;5.70220
 30.99300;10.57417; 2.925580e-02;100.06470;50.00000;20.00000;5.70205
 31.03100;10.58083; 3.030973e-02;100.06470;50.00000;20.00000;5.70191
 31.07000;10.58750; 3.141019e-02;100.06204;50.00000;20.00000;5.70175
 31.11100;10.59417; 3.249527e-02;100.05822;50.00000;20.00000;5.70160
 31.15100;10.60083; 3.362686e-02;100.05313;50.00000;20.00000;5.70144
 31.19300;10.60750; 3.466562e-02;100.04919;50.00000;20.00000;5.70128
 31.23800;10.61417; 3.585941e-02;100.04653;50.00000;20.00000;5.70110
 31.28100;10.62083; 3.699126e-02;100.04526;50.00000;20.00000;5.70094
 31.32500;10.62750; 3.809222e-02;100.04398;50.00000;20.00000;5.70077
 31.37200;10.63417; 3.927079e-02;100.04526;50.00000;20.00000;5.70059
 31.41900;10.64083; 4.046492e-02;100.04919;50.00000;20.00000;5.70040
 31.46800;10.64750; 4.173665e-02;100.05313;50.00000;20.00000;5.70021
 31.51700;10.65417; 4.305494e-02;100.05822;50.00000;20.00000;5.70002
 31.56800;10.66083; 4.440436e-02;100.06332;50.00000;20.00000;5.69983
 31.62200;10.66750; 4.566101e-02;100.06725;50.00000;20.00000;5.69962
 31.67500;10.67417; 4.701069e-02;100.06991;50.00000;20.00000;5.69941
 31.72800;10.68083; 4.834496e-02;100.07119;50.00000;20.00000;5.69921
 31.78200;10.68750; 4.971036e-02;100.07373;50.00000;20.00000;5.69900
 31.84200;10.69417; 5.109157e-02;100.07373;50.00000;20.00000;5.69877
 31.89800;10.70083; 5.248824e-02;100.07373;50.00000;20.00000;5.69855
 31.96000;10.70750; 5.399372e-02;100.07373;50.00000;20.00000;5.69831
 32.01700;10.71417; 5.542164e-02;100.07119;50.00000;20.00000;5.69809
 32.07800;10.72083; 5.689633e-02;100.06852;50.00000;20.00000;5.69785
 32.13800;10.72750; 5.844860e-02;100.06725;50.00000;20.00000;5.69762
 32.20400;10.73417; 6.006325e-02;100.06725;50.00000;20.00000;5.69737
 32.27100;10.74083; 6.158507e-02;100.06980;50.00000;20.00000;5.69711
 32.33400;10.74750; 6.323087e-02;100.07119;50.00000;20.00000;5.69686
 32.40300;10.75417; 6.476856e-02;100.07119;50.00000;20.00000;5.69659
 32.47200;10.76083; 6.622889e-02;100.07246;50.00000;20.00000;5.69633
 32.54100;10.76750; 6.770486e-02;100.07246;50.00000;20.00000;5.69606
 32.61500;10.77417; 6.953780e-02;100.07373;50.00000;20.00000;5.69577
 32.68500;10.78083; 7.140174e-02;100.07628;50.00000;20.00000;5.69550
 32.75900;10.78750; 7.311100e-02;100.07639;50.00000;20.00000;5.69521
 32.83500;10.79417; 7.478952e-02;100.07767;50.00000;20.00000;5.69492
 32.91000;10.80083; 7.653019e-02;100.08021;50.00000;20.00000;5.69463
 32.98700;10.80750; 7.822462e-02;100.08531;50.00000;20.00000;5.69433
 33.06700;10.81417; 8.001245e-02;100.09063;50.00000;20.00000;5.69402
 33.14600;10.82083; 8.207961e-02;100.09306;50.00000;20.00000;5.69372
 33.23000;10.82750; 8.413176e-02;100.09445;50.00000;20.00000;5.69339
 33.31500;10.83417; 8.601357e-02;100.09191;50.00000;20.00000;5.69306
 33.40000;10.84083; 8.786458e-02;100.08924;50.00000;20.00000;5.69273
 33.48900;10.84750; 8.987118e-02;100.08542;50.00000;20.00000;5.69238
 33.57300;10.85417; 9.172257e-02;100.08149;50.00000;20.00000;5.69206
 33.66200;10.86083; 9.362103e-02;100.07767;50.00000;20.00000;5.69171
 33.75200;10.86750; 9.572151e-02;100.07512;50.00000;20.00000;5.69136
 33.84500;10.87417; 9.772933e-02;100.07119;50.00000;20.00000;5.69100
 33.93900;10.88083; 9.973748e-02;100.06852;50.00000;20.00000;5.69064
 34.02800;10.88750;      0.10178;100.06852;50.00000;20.00000;5.69029
 34.12900;10.89417;      0.10407;100.06725;50.00000;20.00000;5.68990
 34.22500;10.90083;      0.10609;100.06470;50.00000;20.00000;5.68953
 34.32200;10.90750;      0.10822;100.06343;50.00000;20.00000;5.68915
 34.42300;10.91417;      0.11045;100.06216;50.00000;20.00000;5.68876
 34.52700;10.92083;      0.11259;100.06204;50.00000;20.00000;5.68836
 34.63200;10.92750;      0.11472;100.06470;50.00000;20.00000;5.68795
 34.73400;10.93417;      0.11698;100.06598;50.00000;20.00000;5.68755
 34.84000;10.94083;      0.11921;100.06852;50.00000;20.00000;5.68714
 34.94800;10.94750;      0.12156;100.07107;50.00000;20.00000;5.68672
 35.05500;10.95417;      0.12376;100.07628;50.00000;20.00000;5.68631
 35.16900;10.96083;      0.12599;100.08149;50.00000;20.00000;5.68586
 35.28300;10.96750;      0.12822;100.08670;50.00000;20.00000;5.68542
 35.39500;10.97417;      0.13055;100.09179;50.00000;20.00000;5.68498
 35.50900;10.98083;      0.13289;100.09711;50.00000;20.00000;5.68454
 35.62900;10.98750;      0.13523;100.10996;50.00000;20.00000;5.68408
 35.74500;10.99417;      0.13759;100.10730;50.00000;20.00000;5.68362
 35.86500;11.00083;      0.13993;100.10996;50.00000;20.00000;5.68316
 35.98800;11.00750;      0.14230;100.10996;50.00000;20.00000;5.68268
 36.10900;11.01417;      0.14454;100.11008;50.00000;20.00000;5.68221
 36.23600;11.02083;      0.14691;100.10869;50.00000;20.00000;5.68171
 36.36000;11.02750;      0.14957;100.10742;50.00000;20.00000;5.68123
 36.48600;11.03417;      0.15176;100.10475;50.00000;20.00000;5.68074
 36.61600;11.04083;      0.15419;100.10348;50.00000;20.00000;5.68024
 36.74800;11.04750;      0.15671;100.09966;50.00000;20.00000;5.67972
 36.88100;11.05417;      0.15907;100.09711;50.00000;20.00000;5.67920
 37.01000;11.06083;      0.16144;100.09711;50.00000;20.00000;5.67870
 37.14400;11.06750;      0.16374;100.09711;50.00000;20.00000;5.67818
 37.28300;11.07417;      0.16630;100.09573;50.00000;20.00000;5.67764
 37.42200;11.08083;      0.16873;100.09573;50.00000;20.00000;5.67710
 37.56300;11.08750;      0.17114;100.09445;50.00000;20.00000;5.67655
 37.70100;11.09417;      0.17359;100.09445;50.00000;20.00000;5.67601
 37.84500;11.10083;      0.17608;100.09179;50.00000;20.00000;5.67545
 37.98900;11.10750;      0.17851;100.09052;50.00000;20.00000;5.67489
 38.13600;11.11417;      0.18114;100.08924;50.00000;20.00000;5.67432
 38.28200;11.12083;      0.18349;100.08797;50.00000;20.00000;5.67375
