#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_30Kmin_04.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_600_30Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;
#DATE/TIME:                  ;12.02.2025 23:13:20 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_30Kmin_correct
#TEMPCAL:                    ;06-01-2021 09:50
#SENSITIVITY:                ;06-01-2021 10:22
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_600_30Kmin powder
#SAMPLE:                     ;PMMA_DE_600_30Kmin
#SAMPLE MASS /mg:            ;8.5469
#MATERIAL:                   ;
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;133.4895
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C/30.0(K/min)/700�C
#SEGMENT:                    ;S2/3
#SEG. 2:                     ;30�C/30.0(K/min)/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 30.01300; 9.96667;-1.251568e-04; 99.96853;50.00000;20.00000;5.70584
 30.01300; 9.97333;-9.386758e-05; 99.97637;50.00000;20.00000;5.70584
 30.01400; 9.98000;-1.408015e-04; 99.98420;50.00000;20.00000;5.70584
 30.01300; 9.98667;-1.564460e-04; 99.98420;50.00000;20.00000;5.70584
 30.01200; 9.99333;-1.564459e-04; 99.98420;50.00000;20.00000;5.70584
 30.01200;10.00000;-1.408013e-04; 99.98420;50.00000;20.00000;5.70584
 30.01200;10.00667;-1.877350e-04; 99.98420;50.00000;20.00000;5.70584
 30.01400;10.01333;-1.720907e-04; 99.98420;50.00000;20.00000;5.70584
 30.01200;10.02000;-1.564459e-04; 99.98420;50.00000;20.00000;5.70584
 30.01300;10.02667;-2.190244e-04; 99.98420;50.00000;20.00000;5.70584
 30.01000;10.03333;-2.033794e-04; 99.98420;50.00000;20.00000;5.70585
 30.01300;10.04000;-2.190244e-04; 99.98420;50.00000;20.00000;5.70584
 30.01400;10.04667;-1.877353e-04; 99.98420;50.00000;20.00000;5.70584
 30.01300;10.05333;-1.251568e-04; 99.98420;50.00000;20.00000;5.70584
 30.01100;10.06000;-9.386746e-05; 99.98420;50.00000;20.00000;5.70585
 30.01400;10.06667;-1.408015e-04; 99.98420;50.00000;20.00000;5.70584
 30.01600;10.07333;-1.720909e-04; 99.98420;50.00000;20.00000;5.70583
 30.00900;10.08000;-1.408010e-04; 99.98420;50.00000;20.00000;5.70586
 30.01400;10.08667;-1.408015e-04; 99.98420;50.00000;20.00000;5.70584
 30.01600;10.09333;-9.386778e-05; 99.98420;50.00000;20.00000;5.70583
 30.01400;10.10000;-7.822304e-05; 99.98420;50.00000;20.00000;5.70584
 30.01600;10.10667;-3.128926e-05; 99.98420;50.00000;20.00000;5.70583
 30.01700;10.11333;-6.257856e-05; 99.98420;50.00000;20.00000;5.70582
 30.01600;10.12000;-4.693389e-05; 99.98420;50.00000;20.00000;5.70583
 30.01800;10.12667;-4.693395e-05; 99.98420;50.00000;20.00000;5.70582
 30.02100;10.13333; 4.693405e-05; 99.99204;50.00000;20.00000;5.70581
 30.02200;10.14000; 1.251575e-04;100.00257;50.00000;20.00000;5.70581
 30.02400;10.14667; 2.190260e-04;100.00257;50.00000;20.00000;5.70580
 30.02400;10.15333; 2.503154e-04;100.00257;50.00000;20.00000;5.70580
 30.02500;10.16000; 2.659603e-04;100.00257;50.00000;20.00000;5.70579
 30.02500;10.16667; 2.816050e-04;100.00386;50.00000;20.00000;5.70579
 30.03000;10.17333; 2.816060e-04;100.00386;50.00000;20.00000;5.70577
 30.03300;10.18000; 2.659618e-04;100.00386;50.00000;20.00000;5.70576
 30.03400;10.18667; 3.128964e-04;100.00129;50.00000;20.00000;5.70576
 30.03900;10.19333; 4.067667e-04;100.00129;50.00000;20.00000;5.70574
 30.04100;10.20000; 4.224121e-04;100.00129;50.00000;20.00000;5.70573
 30.04300;10.20667; 3.911229e-04; 99.99988;50.00000;20.00000;5.70572
 30.05000;10.21333; 4.224147e-04; 99.99860;50.00000;20.00000;5.70570
 30.05200;10.22000; 4.067703e-04; 99.99860;50.00000;20.00000;5.70569
 30.05700;10.22667; 4.224167e-04; 99.99988;50.00000;20.00000;5.70567
 30.06200;10.23333; 5.319346e-04;100.00129;50.00000;20.00000;5.70565
 30.06500;10.24000; 6.101614e-04;100.00129;50.00000;20.00000;5.70564
 30.07200;10.24667; 6.727452e-04;100.00117;50.00000;20.00000;5.70561
 30.07700;10.25333; 7.979097e-04;100.00117;50.00000;20.00000;5.70559
 30.08200;10.26000; 7.353310e-04;100.00129;50.00000;20.00000;5.70557
 30.09100;10.26667; 9.074352e-04;100.00246;50.00000;20.00000;5.70554
 30.10000;10.27333; 1.001314e-03;100.00386;50.00000;20.00000;5.70550
 30.10600;10.28000; 1.016963e-03;100.00515;50.00000;20.00000;5.70548
 30.11200;10.28667; 1.048259e-03;100.00644;50.00000;20.00000;5.70546
 30.12000;10.29333; 1.016973e-03;100.00901;50.00000;20.00000;5.70543
 30.12900;10.30000; 9.856877e-04;100.01685;50.00000;20.00000;5.70539
 30.13700;10.30667; 1.032631e-03;100.02083;50.00000;20.00000;5.70536
 30.14600;10.31333; 1.157805e-03;100.01170;50.00000;20.00000;5.70533
 30.15300;10.32000; 1.298625e-03;100.02609;50.00000;20.00000;5.70530
 30.16600;10.32667; 1.408160e-03;100.02083;50.00000;20.00000;5.70525
 30.17800;10.33333; 1.595928e-03;100.02211;50.00000;20.00000;5.70520
 30.18900;10.34000; 1.752404e-03;100.02609;50.00000;20.00000;5.70516
 30.19900;10.34667; 1.940175e-03;100.03264;50.00000;20.00000;5.70512
 30.21000;10.35333; 2.065363e-03;100.03264;50.00000;20.00000;5.70508
 30.22500;10.36000; 2.127972e-03;100.03522;50.00000;20.00000;5.70502
 30.23900;10.36667; 2.253168e-03;100.03522;50.00000;20.00000;5.70497
 30.25500;10.37333; 2.425311e-03;100.04048;50.00000;20.00000;5.70491
 30.27000;10.38000; 2.534867e-03;100.04177;50.00000;20.00000;5.70485
 30.28200;10.38667; 2.832189e-03;100.04177;50.00000;20.00000;5.70480
 30.29700;10.39333; 3.160818e-03;100.03791;50.00000;20.00000;5.70474
 30.31200;10.40000; 3.411214e-03;100.03662;50.00000;20.00000;5.70468
 30.33000;10.40667; 3.552087e-03;100.03393;50.00000;20.00000;5.70462
 30.34800;10.41333; 3.739908e-03;100.03522;50.00000;20.00000;5.70455
 30.36500;10.42000; 3.912083e-03;100.03393;50.00000;20.00000;5.70448
 30.38500;10.42667; 4.162512e-03;100.03650;50.00000;20.00000;5.70440
 30.40300;10.43333; 4.319050e-03;100.03650;50.00000;20.00000;5.70433
 30.42600;10.44000; 4.600800e-03;100.04048;50.00000;20.00000;5.70424
 30.44600;10.44667; 4.976443e-03;100.03920;50.00000;20.00000;5.70417
 30.46600;10.45333; 5.336447e-03;100.04306;50.00000;20.00000;5.70409
 30.49100;10.46000; 5.493034e-03;100.04177;50.00000;20.00000;5.70399
 30.51200;10.46667; 5.727860e-03;100.04703;50.00000;20.00000;5.70391
 30.53900;10.47333; 6.119219e-03;100.04703;50.00000;20.00000;5.70381
 30.56200;10.48000; 6.494924e-03;100.05090;50.00000;20.00000;5.70372
 30.58700;10.48667; 6.901953e-03;100.04832;50.00000;20.00000;5.70362
 30.61700;10.49333; 7.293369e-03;100.05101;50.00000;20.00000;5.70351
 30.64300;10.50000; 7.747384e-03;100.05090;50.00000;20.00000;5.70341
