#EXPORTTYPE:                 ;DATA ALL
#FILE:                       ;PMMA_DE_6mm_30Kmin_01.ngb-ds3
#FORMAT:                     ;NETZSCH5
#FTYPE:                      ;ANSI
#IDENTITY:                   ;PMMA_DE_600_30Kmin
#DECIMAL:                    ;POINT
#SEPARATOR:                  ;SEMICOLON
#MTYPE:                      ;DSC
#INSTRUMENT:                 ;NETZSCH STA 449F3
#PROJECT:                    ;
#DATE/TIME:                  ;12.02.2025 15:12:46 (UTC+1)
#CORR. FILE:                 ;Correction for method PMMA_30Kmin_correct
#TEMPCAL:                    ;06-01-2021 09:50
#SENSITIVITY:                ;06-01-2021 10:22
#LABORATORY:                 ;TUPO
#OPERATOR:                   ;
#REMARK:                     ;PMMA_DE_600_30Kmin powder
#SAMPLE:                     ;PMMA_DE_600_30Kmin
#SAMPLE MASS /mg:            ;8.6130
#MATERIAL:                   ;
#REFERENCE:                  ;-----
#REFERENCE MASS /mg:         ;0
#TYPE OF CRUCIBLE:           ;Al2O3 85 �l, open
#SAMPLE CRUCIBLE MASS /mg:   ;135.6114
#REFERENCE CRUCIBLE MASS /mg:;132.95
#DSC RANGE /�V:              ;5000
#TG RANGE /mg:               ;35000
#TAU-R:                      ;---
#CORR. CODE:                 ;020
#EXO:                        ;-1
#RANGE:                      ;30�C/30.0(K/min)/700�C
#SEGMENT:                    ;S2/3
#SEG. 2:                     ;30�C/30.0(K/min)/700�C

##Temp./�C;Time/min;DSC/(mW/mg);Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Sensit./(uV/mW)
 30.27000; 9.96750; 3.415966e-04;100.02984;50.00000;20.00000;5.70485
 30.26900; 9.97417; 3.571235e-04;100.03367;50.00000;20.00000;5.70485
 30.26900; 9.98083; 3.415964e-04;100.03367;50.00000;20.00000;5.70485
 30.26900; 9.98750; 2.950151e-04;100.03367;50.00000;20.00000;5.70485
 30.26800; 9.99417; 3.105420e-04;100.03367;50.00000;20.00000;5.70486
 30.26800;10.00083; 3.571232e-04;100.03367;50.00000;20.00000;5.70486
 30.26600;10.00750; 3.571227e-04;100.03367;50.00000;20.00000;5.70486
 30.26600;10.01417; 3.571227e-04;100.03367;50.00000;20.00000;5.70486
 30.26500;10.02083; 3.726495e-04;100.03367;50.00000;20.00000;5.70487
 30.26600;10.02750; 3.571227e-04;100.03367;50.00000;20.00000;5.70486
 30.26600;10.03417; 3.881768e-04;100.03367;50.00000;20.00000;5.70486
 30.26300;10.04083; 3.415950e-04;100.03367;50.00000;20.00000;5.70487
 30.26800;10.04750; 3.105420e-04;100.03367;50.00000;20.00000;5.70486
 30.26600;10.05417; 3.260686e-04;100.03367;50.00000;20.00000;5.70486
 30.26200;10.06083; 3.571218e-04;100.03367;50.00000;20.00000;5.70488
 30.26600;10.06750; 3.260686e-04;100.03367;50.00000;20.00000;5.70486
 30.26600;10.07417; 3.726498e-04;100.03367;50.00000;20.00000;5.70486
 30.26500;10.08083; 4.037036e-04;100.03367;50.00000;20.00000;5.70487
 30.26600;10.08750; 3.726498e-04;100.03367;50.00000;20.00000;5.70486
